,teams,1_star,X_star,2_star,under_star,goals_star,over_star
499,Oita  V-Varen Nagasaki,2.02,3.30,3.75,1.72,2.5,2.13
500,Roasso Kumamoto  Blaublitz Akita,1.75,3.30,5.20,1.55,2.5,2.45
501,Sendai  Tokyo Verdy,2.21,3.45,3.10,1.99,2.5,1.82
502,Mito Hollyhock  JEF United,2.55,3.00,2.95,1.53,2.5,2.55
503,Renofa Yamaguchi  Grulla Morioka,2.13,3.30,3.40,1.80,2.5,2.02
504,Zweigen Kanazawa  Okayama,3.85,3.35,1.95,1.78,2.5,2.05
505,Utakmica,1,X,2,,2.5,i
506,Puebla  Club America,3.20,3.40,2.12,1.98,2.5,1.77
507,Juarez  Pumas UNAM,2.05,3.35,3.45,1.86,2.5,1.88
508,Utakmica,1,X,2,,2.5,i
509,Atl. Morelia  Tepatitlan de Morelos,1.62,3.65,5.10,1.78,2.5,1.93
510,CD Tapatio  Venados Merida,2.25,3.10,3.10,1.60,2.5,2.20
511,CA La Paz  Alebrijes Oaxaca,2.50,3.05,2.80,1.56,2.5,2.30
512,Utakmica,1,X,2,,2.5,i
513,Tromso  Molde,3.20,3.60,2.10,2.20,2.5,1.71
514,Valerenga  Stromsgodset,1.65,4.20,4.70,2.60,2.5,1.51
515,Lillestrom  Bodo/Glimt,3.05,3.60,2.15,2.20,2.5,1.68
516,Aalesunds  Viking,2.65,3.55,2.45,2.19,2.5,1.68
517,Ham Kam  Jerv,1.36,4.90,7.50,2.50,2.5,1.54
518,Haugesund  Odds BK,1.95,3.65,3.65,2.14,2.5,1.72
519,Sandefjord  Sarpsborg 08,3.30,3.90,1.96,2.70,2.5,1.47
520,Kristiansund  Rosenborg,3.75,3.85,1.87,2.35,2.5,1.60
521,Utakmica,1,X,2,,2.5,i
522,Brann  Stjordals Blink,1.03,10.0,16.8,25,2.5,-
523,Bryne  Skeid,2.00,3.60,3.20,2.30,2.5,1.55
524,Fredrikstad  Mjondalen,1.86,3.75,3.55,2.45,2.5,1.48
525,Grorud IL  Raufoss,3.45,3.90,1.84,2.45,2.5,1.49
526,Kongsvinger  Sogndal,2.13,3.70,2.85,2.50,2.5,1.47
527,Ranheim  Sandnes,1.89,3.90,3.30,2.85,2.5,1.38
528,Stabaek  Asane,1.23,5.80,8.50,5,2.5,1.33
529,Start  KFUM Oslo,1.90,3.75,3.40,2.40,2.5,1.51
530,Utakmica,1,X,2,,2.5,i
531,3 de Febrero  Sportivo Iteno,1.51,3.80,5.50,1.87,2.5,1.77
532,Utakmica,1,X,2,,2.5,i
533,Sporting C.  ADT Tarma,1.25,5.30,8.25,0,2.5,1.28
534,Atletico Grau  Sport Boys A.,1.52,3.65,6.00,1.78,2.5,1.90
535,FBC Melgar  Deportivo Binacional,1.33,4.60,10.5,9,2.5,1.81
536,Carlos Manucci  Ayacucho,1.80,3.30,4.15,1.81,2.5,1.86
537,Utakmica,1,X,2,,2.5,i
538,Radomiak Radom  Cracovia Krakow,2.40,3.10,3.10,1.60,2.5,2.35
